Tamanho,AVL,RubroNegra,B_Ordem_1,B_Ordem_5,B_Ordem_10
0,0,0,0,0,0
300,25443,8715,13848,12159,12176
600,56736,19398,30554,26400,27004
900,90652,30799,48210,41827,42467
1200,125917,42463,66610,57836,58434
1500,161951,54524,85525,74516,74814
1800,198544,66938,105227,90956,91336
2100,236965,79696,124949,107737,107921
2400,276180,92551,145106,124731,125002
2700,314456,105403,164969,142064,142289
3000,354860,118458,185713,159498,159465
3300,394609,131794,206727,177073,176878
3600,434457,144944,227230,194764,194521
3900,475984,158546,248846,212664,211953
4200,516651,171781,269964,230193,229780
4500,558329,185648,292208,248216,247448
4800,601378,199545,312885,266112,265738
5100,642083,213254,334553,284505,284419
5400,683844,227246,355977,302732,303068
5700,727590,241204,378562,321377,322056
6000,769498,255653,400113,340388,340841
6300,813360,269738,422111,359314,359532
6600,856726,283403,444748,378282,378507
6900,900052,298246,466390,397367,397160
7200,943208,312516,488313,416493,416291
7500,988368,326664,511774,436036,435462
7800,1031202,340922,535427,454779,454407
8100,1074531,355149,557001,474822,474216
8400,1119035,370019,580844,493771,493043
8700,1164771,384698,602392,512981,512394
9000,1208533,399275,627045,532547,532134
9300,1253418,414453,649137,552142,551391
9600,1297672,428405,673075,571512,570952
9900,1343911,443604,695854,590807,590915
