Tamanho,AVL,RubroNegra,B_Ordem_1,B_Ordem_5,B_Ordem_10
0,0,0,0,0,0
300,22225,7325,8851,9294,9910
600,50530,15738,19545,20829,22187
900,81056,24825,31388,33119,35359
1200,113070,34004,43003,45662,49164
1500,146378,43486,54473,59188,63396
1800,180410,53067,67467,72046,77483
2100,215055,62954,80115,86151,91960
2400,250210,73040,92744,99583,107207
2700,286284,82867,104919,115059,122525
3000,322952,93028,118918,128562,137938
3300,359357,103151,130247,142152,151820
3600,396699,113686,143034,156381,167336
3900,434372,124142,154219,170722,182437
4200,473009,134553,171031,184872,198183
4500,510823,145225,185125,200430,215132
4800,549767,155569,199272,215295,233725
5100,588636,166109,209881,231881,252031
5400,627454,176839,228801,247917,267874
5700,666996,187480,240101,263164,282247
6000,706819,198305,255786,278376,298443
6300,746268,209298,273788,294064,313075
6600,786419,219854,280941,308039,330595
6900,827111,231364,300562,324189,345481
7200,866738,241831,310698,339083,360330
7500,908280,252868,321963,355043,378124
7800,948572,263821,338632,368993,392459
8100,989311,274592,354107,384726,410330
8400,1031149,286107,366428,399632,427083
8700,1070414,297158,381899,414925,444272
9000,1112648,308109,393720,430765,462582
9300,1155226,319330,409420,447108,479436
9600,1195744,330368,423193,463792,500962
9900,1237256,342366,432838,478847,519578
