Tamanho,AVL,RubroNegra,B_Ordem_1,B_Ordem_5,B_Ordem_10
250,3748,2133,3684,2986,2945
500,8554,4754,8296,6616,6628
750,13670,7601,13399,10496,10600
1000,19036,10566,18541,14663,14682
1250,24715,13598,23890,18952,18868
1500,30386,16757,29505,23302,23132
1750,36141,19972,35054,27759,27409
2000,42259,23122,40788,32208,31774
2250,48213,26424,46550,36746,36188
2500,54432,29780,52489,41351,40645
2750,60670,33123,58476,45955,45198
3000,66897,36487,64453,50620,49698
3250,73281,40065,70489,55303,54206
3500,79598,43463,76822,59913,58772
3750,85887,46909,82856,64753,63400
4000,92317,50401,89336,69440,68019
4250,98888,54016,95630,74158,72707
4500,105886,57612,101974,78968,77410
4750,112385,61141,108293,83855,82091
5000,118675,64717,114626,88634,86954
5250,125547,68351,120895,93592,91945
5500,132541,72030,127213,98670,97018
5750,139008,75539,133594,103533,102023
6000,146065,79347,140317,108582,107065
6250,152768,82889,147104,113774,112159
6500,159824,86556,153256,118904,117251
6750,166643,90364,159682,124257,122248
7000,173424,94035,166191,129297,127344
7250,180901,97695,173123,134575,132527
7500,187439,101560,180072,139706,137483
7750,194163,105325,186298,145108,142581
8000,201294,108951,193271,150205,147780
8250,208702,112862,199621,155579,153044
8500,215343,116611,206740,160861,158199
8750,222368,120320,213571,166278,163268
9000,229907,124209,221059,171398,168577
9250,237033,128075,226809,176832,173803
9500,243583,132014,234441,181885,178899
9750,251201,135933,241143,187489,184006
10000,258064,139593,247531,192884,189270
