Tamanho,AVL,RubroNegra,B_Ordem_1,B_Ordem_5,B_Ordem_10
0,0,0,0,0,0
250,2786,1487,3760,2295,2016
500,6591,3488,8263,5174,4792
750,10720,5667,13347,8561,7790
1000,15120,7992,18466,12081,10860
1250,19760,10398,23861,15661,14158
1500,24518,12882,29342,19322,17349
1750,29383,15402,35138,22962,20654
2000,34381,17992,40648,26664,24074
2250,39375,20667,45924,30411,27583
2500,44582,23327,51392,34335,31101
2750,49736,26007,57616,38312,34586
3000,55026,28783,64306,42223,38080
3250,60386,31586,70621,46060,41548
3500,65827,34411,77200,49939,45180
3750,71309,37190,82589,53944,48749
4000,76841,40131,88632,57921,52423
4250,82333,42961,94739,61972,56133
4500,87966,45927,100586,66047,59982
4750,93468,48784,107609,70140,64358
5000,99403,51777,112767,74365,69407
5250,104986,54661,118659,79053,73360
5500,110711,57741,126500,84131,77381
5750,116570,60756,132864,89093,81434
6000,122356,63715,138164,94191,85438
6250,128402,66768,144803,98887,89550
6500,133905,69687,151595,103388,93582
6750,139942,72791,159379,107672,97649
7000,145844,76035,164288,112240,101706
7250,152011,79073,172950,116680,105778
7500,158199,82222,178757,121067,109925
7750,163895,85261,184925,125565,114033
8000,169803,88266,192593,129995,118218
8250,175963,91410,199302,134609,122469
8500,181997,94465,206455,139110,126709
8750,188067,97712,211976,143672,130833
9000,194287,101010,219090,148426,135328
9250,200511,103949,225318,152953,139652
9500,206534,107371,231915,157414,143900
9750,212641,110557,237894,162598,148110
10000,219077,113643,244162,166791,152671
